序号,名称,负责人,地址,电话,所在地区,文物商店
1,北京市文物公司,温桂华 ,西城区琉璃厂东街64号,63017437,西城区,文物商店
2,北京市古董钱币公司,张鹏,西城区琉璃厂西街62号,63012881,西城区,文物商店
3,荣宝斋,郜宗远,西城区琉璃厂西街19号,63035279,西城区,文物商店
4,中国书店,鲁杰民 ,西城区琉璃厂西街57号,63035759,西城区,文物商店
5, 友谊商店,杨显生,建国门外大街17号,65003311,朝阳区,文物商店
6,华夏工艺品商店,武立成 ,东城区珠市口东大街4-6,65136204,东城区,文物商店
7,北京龙顺成中式家具厂,王东,东城区永定门外大街64号,67211485,东城区,文物商店
8,古宝斋文物有限公司,周举鹏,八达岭特区八达岭饭店一层工艺品商场,69121969,延庆县,文物商店
9,北京方泉斋集币服务部,公柏青, 西城区西交民巷22号,66081376,西城区,文物商店
10,北京中鼎信文物商店,周继海 ,朝阳区东三环南路21号北京古玩城五层,67747711--3117,朝阳区,文物商店
11,北京金福盛文物有限公司,徐步前 ,朝阳区东三环南路21号北京古玩城三层63号,87772302,朝阳区,文物商店
12,北京嘉比德文物有限公司,刘国庆,朝阳区东三环南路21号北京古玩城三层108号,67735918,朝阳区,文物商店
13,北京源古文物有限公司,杨振宇,朝阳区东三环南路21号北京古玩城三层106号,67735936,朝阳区,文物商店
14,北京桑杰文物有限公司,单占柱 ,朝阳区东三环南路21号北京古玩城2层52号,67335978,朝阳区,文物商店
15,北京中为盛世文物有限公司,曾庆国,朝阳区东三环南路21号北京古玩城一层西区,87771091,朝阳区,文物商店
16,北京百和辰文物有限公司,艾艳玲,朝阳区东三环南路21号北京古玩城三层122A号,67747711-3166,朝阳区,文物商店
17,北京市通古斋文化艺术有限公司,季清国 ,西城区西琉璃厂54号,63044894,西城区,文物商店
18,北京谈古文物有限公司,朱永平,朝阳区东三环南路21号北京古玩城四层88号,87716964,朝阳区,文物商店
19,北京泽雅堂商贸有限公司,陈祖佑,东城区王府井大街48号皇冠假日酒店一层,65120706,东城区,文物商店
20,北京博古御隆文物有限公司,王辉,朝阳区东三环南路21号北京古玩城五层518号,13601031505,朝阳区,文物商店
21,北京瓷源阁文物有限公司,严志芳,朝阳区东三环南路21号北京古玩城四层96－97号,67736089,朝阳区,文物商店
22,北京聚华晋德文物有限公司,常瑜华,朝阳区东三环南路21号北京古玩城三层109号,13901207118,朝阳区,文物商店
23,北京华夏遗珍文物有限公司,卓少东,朝阳区东三环南路21号北京古玩城一层东厅29号,67735905,朝阳区,文物商店
24,北京炜程文物有限公司,汪玉清,朝阳区东三环南路21号北京古玩城四层48-49号,13901395470,朝阳区,文物商店
25,北京东方藏宝文物有限公司,卢晓华,朝阳区东三环南路21号北京古玩城三层110号,13601103607,朝阳区,文物商店
26,北京瑞坤元文物有限公司,许孔元,朝阳区东三环南路21号北京古玩城五层568号,13910307503,朝阳区,文物商店
27,北京博雅精舍文物有限公司,金生,朝阳区东三环南路21号北京古玩城三层兆丰8A号,13801019287,朝阳区,文物商店
28,北京友和文化艺术有限公司,罗勇,朝阳区东三环南路21号北京古玩城三层115室,67748375,朝阳区,文物商店
29,北京明宝阁文物有限公司,翁志明,朝阳区东三环南路21号北京古玩城一层东厅19号,67736045,朝阳区,文物商店
30,北京石头轩文物有限公司,喻安城,朝阳区东三环南路21号北京古玩城五层588号,87731972,朝阳区,文物商店
31,北京古中阁文物有限公司,吴江俊,朝阳区东三环南路21号北京古玩城二层202号,87731895,朝阳区,文物商店
32,北京正庄国际古玩艺术品有限公司,吴启荣,朝阳区东三环南路76号D座105室,67306578,朝阳区,文物商店
33,北京乾泰隆文物有限公司,周大志,朝阳区东三环南路21号北京古玩城二层211号,59609393,朝阳区,文物商店
34,北京聚缘阁文物有限公司,闫锡民 ,朝阳区东三环南路21号北京古玩城二层203号,13701210708,朝阳区,文物商店
35,北京筑野山房文物有限公司,顾磊,朝阳区东三环南路21号北京古玩城一层西区22号,67749436,朝阳区,文物商店
36,北京景德行艺术品有限公司,施文奇,朝阳区东三环南路17号京瑞大厦B座首层09号,13011297288,朝阳区,文物商店
37,北京普罗之声文化传播有限公司,邵东鸿,东城区东四十条22号,13901162295,东城区,文物商店
38,北京聚珍缘文物有限公司,冯毅,朝阳区东三环南路21号北京古玩城三层66号,13911267399,朝阳区,文物商店
39,北京九如堂文物有限公司,高洪斌,朝阳区东三环南路21号北京古玩城五层598号,13501263732,朝阳区,文物商店
40, 北京秦源文物有限公司,冯世宝,朝阳区东三环南路21号北京古玩城,67734916,朝阳区,文物商店
41,北京璞味阁文物有限公司,冯文来,朝阳区东三环南路21号北京古玩城一层西厅1号,67736010,朝阳区,文物商店
42,北京东方启轩文物有限公司,马琳洁,朝阳区东三环南路21号北京古玩城五层558A号,67748908,朝阳区,文物商店
43,北京鉴善堂艺术品有限公司,徐志诚,北京市朝阳区东三环南路76号1座3022室,67313573,朝阳区,文物商店
44,北京大地来文物有限公司,杜克杰,北京市朝阳区东三环南路76号古玩书画艺术城2045,13811302088,朝阳区,文物商店
45,观音阁文物有限公司,王军,北京市朝阳区王四营观音堂文化大道58号,13901046805,朝阳区,文物商店
46,北京文博艺苑文物商店有限公司,王继文 ,北京市朝阳区高原街甲2号文博大厦12层1215-1216,84640192,朝阳区,文物商店
47,北京雅克品艺术品有限公司,龙惠农,北京市朝阳区东三环南路76号D座3层301室,67302930/19,朝阳区,文物商店
48,北京市寻真楼文化艺术交流有限公司,张墨吟,北京市朝阳区西坝河南路甲3号A座806室,13001155533,朝阳区,文物商店
49,北京汉嘉文化传播有限公司,孙宁,北京市西城区大栅栏街41号,63037020,西城区,文物商店
50,北京武陵山房文物有限公司,姚百延 ,北京市朝阳区东三环南路76号,67307274,朝阳区,文物商店
51,北京聚珍家益文物有限公司,吴琛,北京市朝阳区东三环南路76号,87374191,朝阳区,文物商店
52,北京工艺懋隆贸易有限公司,杨晓瑞,北京市朝阳区三间房东路1号,65761303,朝阳区,文物商店
53,翁博（北京）文物有限公司,王树成,北京市朝阳区东三环南路21号北京古玩城二层130号,13366322817,朝阳区,文物商店
54,北京市文物公司百一山房经营部,温桂华,北京市朝阳区东三环南路76号古玩城五层,63017437,朝阳区,文物商店
55,北京保利艺术中心有限公司,陈杰,北京市东城区东直门南大街十四号保利大厦20层,13910781352,东城区,文物商店
56,北京金百联文化发展有限公司,王爱唐,北京市海淀区羊坊店路9号京门大厦,63965931,海淀区,文物商店
57,北京鼎和隆泰文化艺术交流有限公司,郑成刚,北京市朝阳区朝阳门内北大街乙12号1号楼07公寓,51230378,朝阳区,文物商店
58,中古陶（北京）国际艺术品有限公司,张崇檀,北京市东城区南池子大街菖蒲河沿9号,65283793,东城区,文物商店
59,北京光华路五号艺术馆有限公司,张书泰,北京市朝阳区光华路5号院世纪财富中心2号楼10层,65625585,朝阳区,文物商店
60,北京古玩城有限公司,赵亮 ,北京市朝阳区东三环南路21号,59609001,朝阳区,文物商店
61,九歌艺术品交易有限公司,宁乔木 ,北京市朝阳区东三环中路39号soho15号楼2803,58692808,朝阳区,文物商店
62,北京天坛民族艺术品发展有限公司,隋缘,北京市东城区前门大街47号,83172006,东城区,文物商店
63,北京古道艺术品有限公司,宋涛,北京市朝阳区建国门外大街1号国贸写字楼1座614-616,65051177,朝阳区,文物商店
64,北京乐石珠宝有限公司,赵伯乐,北京市朝阳区高原街甲2号文博大厦17层,84645150,朝阳区,文物商店
65,北京天宝润德古玩文物艺术会展中心,刘继明 ,北京市东城区法华寺街91号,52979299,东城区,文物商店
66,北京圣雅诗进出口有限责任公司,索德金 ,丰台区小屯路16号,83838003,丰台区,文物商店
67,北京古抑斋鉴藏文化有限公司,彭玉玺,北京市怀柔区北房镇南房村600号,61684868,怀柔区,文物商店
68,北京嘉德艺术中心有限公司,寇勤,北京市朝阳区建国门内大街18号恒基中心二座915室,65189968,朝阳区,文物商店
69,宝泉钱币投资有限公司,谢德恒,北京市顺义区顺西南路7号院,56089802,顺义区,文物商店
70,北京绣花张民间艺术品开发有限公司,张智勇,北京市朝阳区建外大街1号国贸商城NB140,65056201,朝阳区,文物商店
71,北京正观堂艺术品开发有限公司,梁晓新,北京市东城区崇文门外大街3号南座14层16号,67073686,东城区,文物商店
72,易拍全球（北京）科贸有限公司,蒋齐琛,北京市朝阳区朝阳门外大街6号-1层1009,85900340,朝阳区,文物商店
73,北京瓯江草堂文化艺术有限公司 ,易苏昊,北京市东城区新中街68号7号楼（聚龙商务楼）二层,65522295,东城区,文物商店
