序号,区县名称,街道名称,社区名称,类别名,名称（全称）,地址（详细到门牌号）,邮政编码,联系电话,服务项目,服务时间,家政服务
1,东城区,安定门街道,宝钞南社区,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
2,东城区,安定门街道,分司厅,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,100009,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,08:30-17：00,家政服务
3,东城区,安定门街道,国子监社区,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
4,东城区,安定门街道,五道营,家政服务,金桥家政服务公司,东城区箭厂胡同29号,100007,,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、等,全天,家政服务
5,东城区,安定门街道,,家政服务,北京应朝辉洗衣行,北京市东城区车辇店胡同21号3208（雍和园）,,64023500,洗衣,8:30-21:30,家政服务
6,东城区,安定门街道,,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
7,东城区,安定门街道,国旺,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
8,东城区,安定门街道,花园社区,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
9,东城区,北新桥街道,民安,家政服务,晨洁保洁服务中心,东扬威5号楼2层,100007,13681106408,卫生保洁及小时工,早7：00-晚11：00,家政服务
10,东城区,北新桥街道,前永康,家政服务,援帮养老助残服务队,北新三巷3号,100007,64027405,上门理发、家政、换煤气、送餐,8：30－17：30,家政服务
11,东城区,北新桥街道,十三条,家政服务,东城区农家女居家养老服务社,东城区东四十三条32号2楼201室,100007,84012511,家政服务,,家政服务
12,东城区,朝阳门街道,史家社区,家政服务,史家社区服务站,史家胡同21号,100010,,提供介绍小时工、保姆、家教,每周一至周五,家政服务
13,东城区,崇外街道,兴隆都市馨园,家政服务,北京泰吉浩天家政服务部,都市馨园10号楼1单元112,100062,67024643,家政服务、打字复印等,周一至周日,家政服务
14,东城区,东花市街道,广渠门外南里社区,家政服务,北京富源腾伟劳务服务有限公司,广渠家园23号楼-1,100022,87512047,家务劳务服务；复印；彩扩；家电维修,9:00-11:30；14:00-17:30,家政服务
15,东城区,东花市街道,南里,家政服务,东花市南里公共服务协会,南里3区1号楼旁平房,100062,67123193,家政服务，老年饭桌,周一至周五,家政服务
16,东城区,东华门街道,南池子社区,家政服务,大成家政服务,南池子大街124号,100006,65120813,家政服务、小时工、保姆等,8：30-17：00,家政服务
17,东城区,东四街道,六条社区,家政服务,东四家政,六条3号,100007,64021141,小时工、家电维修,周一至周日,家政服务
18,东城区,东四街道,五条社区,家政服务,五条家政公司,四条6号,100010,64053784,家政咨询、服务,工作日,家政服务
19,东城区,东四街道,总院社区,家政服务,恩赐月嫂家政服务,东城区朝阳门内北小街2号,100700,64021458,家政服务,工作日,家政服务
20,东城区,东直门街道,胡家园社区,家政服务,真诚家政服务,东外小街10号院,100027,64619295,家政服务,24小时,家政服务
21,东城区,东直门街道,新中街社区,家政服务,阳光都市,新中街18号院,100027,,家政服务,每天,家政服务
22,东城区,和平里街道,柏林,家政服务,和平家政公司,和平里东街9号院4号楼地下室,100013,84217066,职业介绍：保姆、小时工等,周一至周日,家政服务
23,东城区,和平里街道,六铺炕,家政服务,六铺炕社区居委会,安德路乙61号院7号楼,100120,62014792,为居民介绍小时工，保姆等,周一至周五8:30分至11:30分14:00至17:00,家政服务
24,东城区,和平里街道,五区,家政服务,诚信家政,和平里五区5号楼9门102,100013,8421.6562,保姆介绍等服务,365天,家政服务
25,东城区,和平里街道,兴化社区,家政服务,北京阳光薄洒家政服务中心,兴化西里锅炉房引风房,100013,64267820,职业介绍、家政人员登记、介绍等服务,周一至周五：9：30-17：00,家政服务
26,东城区,和平里街道,安贞苑,家政服务,北京禄媛家政服务公司,安定路20号院4号楼205号,100029,64445982,育儿、护工、育儿嫂、小时工、保洁,周一至周日,家政服务
27,东城区,龙潭街道,板厂南里,家政服务,温馨家家政服务,板厂南里12号楼3单元2号地下,100061,67169009,家政服务,9-18点,家政服务
28,东城区,龙潭街道,龙潭北里西,家政服务,万家帮家政服务中心,龙潭北里1条3楼后平房,100061,67167159,提供家政服务,全天,家政服务
29,东城区,前门街道,前东社区,家政服务,北京安京北望家政服务有限公司,西河沿215号地下,100051,67010583,家政服务,周一至周日,家政服务
30,东城区,体育馆路街道,葱店,家政服务,社区家政,法华寺街69号,100061,13552628355,,8:00-17:00,家政服务
31,东城区,永外街道,天天家园社区,家政服务,三乐永外劳动服务管理中心,安乐林路38号,100075,67214352,家政服务,早9点-晚5点,家政服务
32,西城区,白纸坊街道,崇效寺社区,家政服务,北京洪福诚信家政,白纸坊西街27号,100053,85943136,家政服务,长期,家政服务
33,西城区,白纸坊街道,建功南里社区,家政服务,北京康年家政中心,北京市西城区南菜园29号,100054,83537830,居室保洁、钟点工、提供保姆信息等家政服务,,家政服务
34,西城区,白纸坊街道,清芷园社区,家政服务,保丽艳芳家政服务中心,清芷园11号楼A座105,,83501266,保姆、保洁、小时工服务等,8:00-20:00,家政服务
35,西城区,白纸坊街道,新安中里,家政服务,北京市顺和祥适家政服务中心,白纸坊西街46-1、46-2地下一层32号,100054,63580095,家庭服务员、保姆、小时工、月嫂等,,家政服务
36,西城区,白纸坊街道,右内后身社区,家政服务,右内后身社区家政服务站,右内西街丙1号,100054,83512672,介绍保姆、小时工,每周一至周五,家政服务
37,西城区,大栅栏街道,前西社区,家政服务,温情园家政,前门西大街6号楼3门104,100051,63152520,家政服务、小时工,全天,家政服务
38,西城区,大栅栏街道,前西社区,,红人家政服务公司,西河沿180号,100051,63028402,家政服务、小时工,全天,家政服务
39,西城区,德胜街道,德外大街东社区,家政服务,捷足家政,塔院胡同12号院4号楼东侧,100120,82086408,家政服务介绍,每天,家政服务
40,西城区,德胜街道,新外大街北社区,家政服务,阳光四季家政,新外大街甲8号16楼9门门前平房,100088,82249438,家政服务,8：00-19：00,家政服务
41,西城区,德胜街道,阳光丽景社区,家政服务,北京盛世物业有限公司家政部,黄寺大街23号院C座东一层,100120,82235151,为居民提供家政服务,8-21:00,家政服务
42,西城区,德胜街道,裕中西里社区,家政服务,得胜好运信息咨询有限公司,裕中西里庚35号,100029,,,,家政服务
43,西城区,广安门内街道,老墙根社区,家政服务,老墙根社区家政服务队,老墙根59号旁门,100053,63170868,小时工、家政服务,每天,家政服务
44,西城区,广安门外街道,车站西街15号院社区,家政服务,生平礼仪家政,"小红庙17号楼南侧
（广外一小南100米）",100055,13522137848,保姆、小时工、月嫂,周一至周五上午9:00至下午5:00,家政服务
45,西城区,广安门外街道,红莲北里社区,家政服务,爱侬家政服务公司,红莲北里10号楼,100055,63433403,保洁、保姆招工,8：00-17:30,家政服务
46,西城区,广安门外街道,乐城社区,家政服务,可和平家政,乐城1号楼东侧,100055,15201033184,家政服务,9:00-18:00,家政服务
47,西城区,广安门外街道,马中里社区,家政服务,广外社区中心小时工,广外马中里一区1号楼,100055,63311165,小时工服务,9:00——18:00,家政服务
48,西城区,广安门外街道,三义里社区,家政服务,和谐家政服务有限公司,三义里8号楼底商,100055,63484959,家政、婚介、婚庆、职介,每日,家政服务
