名称,地址,星级,区（县）,电话,饭店
北京丽晶酒店,金宝街99号,五星,东城区,85221888,饭店
港澳中心瑞士酒店,朝阳门北大街2号,五星,东城区,65532288,饭店
华侨大厦,王府井大街2号,五星,东城区,58169999,饭店
北京东方君悦大酒店,东长安街一号,五星,东城区,85181234,饭店
天伦王朝酒店,王府井大街50号,五星,东城区,58168888,饭店
首都大酒店,前门东大街3号,五星,东城区,58159988,饭店
汉华国际饭店,安定门外西滨河路26号,五星,东城区,58139988,饭店
国际艺苑皇冠假日酒店,王府井大街48号,五星,东城区,59119999,饭店
北京国际饭店,建国门内大街9号,五星,东城区,65126688,饭店
好苑建国酒店,建国门内大街17号,五星,东城区,65286666,饭店
北京万豪酒店,建国门南大街7号,五星,东城区,58118888,饭店
贵宾楼饭店,东长安街35号,五星,东城区,65137788,饭店
北京饭店,东长安街33号,五星,东城区,65137766,饭店
王府半岛酒店,金鱼胡同8号,五星,东城区,85162888,饭店
励骏酒店,金宝街90-92号,五星,东城区,85113388,饭店
金隅喜来登酒店,北三环东路36号院,五星,东城区,57988888,饭店
国宾酒店,阜外大街甲9号,五星,西城区,58585588,饭店
金融街威斯汀大酒店,金融大街乙9号,五星,西城区,66068866,饭店
金融街丽思卡尔顿酒店,金城坊东街1号,五星,西城区,66016666,饭店
金融街洲际酒店,金融街11号,五星,西城区,58525888,饭店
名人国际大酒店,安立路99号,五星,朝阳区,58651166,饭店
伯豪瑞廷酒店,光华路15号院-3号楼,五星,朝阳区,85885588,饭店
北京希尔顿酒店,东三环北路东方路一号,五星,朝阳区,58655000,饭店
北京万达索菲特大饭店,建国路93号c座,五星,朝阳区,85996666,饭店
兆龙饭店,工体北路2号,五星,朝阳区,65972299,饭店
长富宫饭店,建国门外大街26号,五星,朝阳区,58775555,饭店
新云南皇冠假日酒店,东北三环七圣中街12号,五星,朝阳区,64298888,饭店
嘉里大酒店,光华路1号,五星,朝阳区,65618833,饭店
北京瑞吉酒店,建国门外大街21号,五星,朝阳区,64606688,饭店
长城饭店,东三环北路10号,五星,朝阳区,65905566,饭店
昆泰嘉华酒店,朝外大街乙12号,五星,朝阳区,58285588,饭店
千禧大酒店,东三环中路7号,五星,朝阳区,85876888,饭店
北辰洲际酒店,北辰西路8号院4号楼,五星,朝阳区,84371188,饭店
长安大饭店,华威里27号,五星,朝阳区,67731234,饭店
北京凯宾斯基饭店,亮马桥路50号,五星,朝阳区,64653388,饭店
五洲皇冠国际酒店,北四环中路8号,五星,朝阳区,84982288,饭店
中国大饭店,建外大街1号,白金五星,朝阳区,65052266,饭店
昆仑饭店,新源南路2号,五星,朝阳区,65903388,饭店
国航万丽酒店,霄云路36号,五星,朝阳区,64689999,饭店
金茂威斯汀大饭店,东三环北路7号,五星,朝阳区,59228888,饭店
丽景湾国际酒店,东四环十里堡北里28号,五星,朝阳区,85858888,饭店
中奥马哥孛罗大酒店,安立路78号,五星,朝阳区,59636688,饭店
国贸大酒店,建外大街1号,五星,朝阳区,65052299,饭店
康源瑞廷酒店,潘家园南里19号,五星,朝阳区,59097777,饭店
富力万丽酒店,朝阳区东三环中路61号,五星,朝阳区,58638888,饭店
鹏润国际大酒店,霄云路26号鹏润大厦A座,五星,朝阳区,51086688,饭店
北大博雅国际酒店,中关村北大街127号,五星,海淀区,82689999,饭店
新世纪日航饭店,首都体育馆南路6号,五星,海淀区,68492001,饭店
中关村皇冠假日酒店,知春路106号,五星,海淀区,59938888,饭店
世纪金源香山商旅酒店,北正黄旗59号,五星,海淀区,59898888,饭店
西苑饭店,三里河路一号,五星,海淀区,68313388,饭店
京都信苑饭店,什坊院6号,五星,海淀区,63901166,饭店
友谊宾馆贵宾楼,中关村南大街1号,五星,海淀区,68498888,饭店
北京香格里拉饭店,紫竹院路29号,五星,海淀区,68412211,饭店
世纪金源大饭店,板井路69号,五星,海淀区,88598888,饭店
南宫温泉度假酒店,王佐镇福宫路39号,五星,丰台区,83315566,饭店
西国贸大酒店,丰管路16号8号楼,五星,丰台区,83832222,饭店
和园景逸大酒店,后沙峪镇裕民大街2号,五星,顺义区,69457777,饭店
瑞麟湾温泉度假酒店,顺平辅线39号,五星,顺义区,89468899,饭店
龙城丽宫国际酒店,昌平路317号,五星,昌平区,80799988,饭店
九华国际会展中心,小汤山镇葫芦河村北,五星,昌平区,61782288,饭店
龙熙温泉度假酒店,庞各庄镇顺景路8号,五星,大兴区,89282222,饭店
丰大国际大酒店,亦庄荣华中路20号,五星,大兴区,67518888,饭店
瑞海姆田园度假村,西大桥路2号,五星,密云县,89098888,饭店
金龙建国温泉酒店,建国门南大街5号,四星,东城区,65286688,饭店
东方花园饭店,东直门南大街6号,四星,东城区,64168866,饭店
北京丽亭酒店,金宝街97号,四星,东城区,85221999,饭店
天伦松鹤大饭店,灯市口大街88号,四星,东城区,58168999,饭店
鑫海锦江大酒店,金宝街61号,四星,东城区,58163388,饭店
凤展大酒店,安定门外大街乙57号,四星,东城区,84139999,饭店
新侨饭店,东交民巷2号,四星,东城区,65133366,饭店
敦煌飞天商贸大厦,广渠门外南街5号,四星,东城区,67778000,饭店
宝辰饭店,建国门内大街甲18号,四星,东城区,65266688,饭店
和平宾馆,金鱼胡同3号,四星,东城区,65128833,饭店
保利大厦,东直门南大街14号,四星,东城区,65001188,饭店
天坛饭店,体育馆路1号,四星,东城区,67190666,饭店
宁夏大厦,安定门内大街分司厅胡同,四星,东城区,64009999,饭店
北方佳苑饭店,王府井大街218-1号,四星,东城区,65238888,饭店
翠明庄宾馆,南河沿大街1号,四星,东城区,58580909,饭店
内蒙古大厦,崇文门内大街2号,四星,东城区,65186666,饭店
翔达国际商务酒店,广安门内大街169号,四星,西城区,83172288,饭店
港中旅维景国际大酒店,广安门内大街338号,四星,西城区,83529999,饭店
西单美爵酒店,宣武门内大街6号,四星,西城区,66036688,饭店
建通酒店,广莲路甲5号,四星,西城区,63986611,饭店
国宏宾馆,木樨地北里甲11号,四星,西城区,63908866,饭店
中国职工之家,真武庙路一号,四星,西城区,68576699,饭店
前门饭店,永安路175号,四星,西城区,63016688,饭店
深圳大厦,广安门外大街1号,四星,西城区,63271188,饭店
民族饭店,复兴门内大街51号,四星,西城区,66014466,饭店
国谊宾馆,文兴东街1号国谊宾馆,四星,西城区,68316611,饭店
北京广州大厦,西单横二条甲3号,四星,西城区,58559988,饭店
金都假日饭店,北礼士路98号,四星,西城区,68338822,饭店
国二招宾馆,西直门南大街6号,四星,西城区,66186688,饭店
金台饭店,地安门西大街38号,四星,西城区,66529988,饭店
德宝饭店,德宝新园22号,四星,西城区,68318866,饭店
新大都饭店,车公庄大街21号,四星,西城区,68319988,饭店
金色夏日商务酒店,西便门内大街85号,四星,西城区,63012999,饭店
华膳园温泉饭店,高碑店乡小郊亭村东1376号,四星,朝阳区,87739999,饭店
建国饭店,建国门外大街5号,四星,朝阳区,65002233,饭店
艾维克酒店,东环南路2号,四星,朝阳区,65661188,饭店
渔阳饭店,新源西里中街18号,四星,朝阳区,64669988,饭店
丽都维景酒店,将台路6号,四星,朝阳区,64376688,饭店
赛特饭店,建国门外大街22号,四星,朝阳区,65123388,饭店
西藏大厦,北四环东路118号,四星,朝阳区,64981133,饭店
外国专家大厦,北四环中路华严北里8号院,四星,朝阳区,82858888,饭店
光明饭店,亮马桥路42号院,四星,朝阳区,84418888,饭店
船舶重工酒店,东三环南路100号,四星,朝阳区,67353366,饭店
五环大酒店,东三环南路15号,四星,朝阳区,67626655,饭店
北京广西大厦,潘家园华威里26号,四星,朝阳区,67796688,饭店
京伦饭店,建国门外大街3号,四星,朝阳区,65002266,饭店
皇家大饭店,北三环东路甲六号,四星,朝阳区,59223388,饭店
国贸饭店,建国门外大街1号,四星,朝阳区,65052277,饭店
元辰鑫国际酒店,裕民路12号,四星,朝阳区,82024488,饭店
福建大厦,安贞西里三区11号,四星,朝阳区,64428833,饭店
强强国际商务酒店,东三环南路102号,四星,朝阳区,87385588,饭店
亮马河大厦,东三环北路8号,四星,朝阳区,65906688,饭店
五洲大酒店,北辰东路8号,四星,朝阳区,84985588,饭店
北京河南大厦,潘家园华威里28号,四星,朝阳区,67751188,饭店
亚奥国际酒店,大屯路甲一号,四星,朝阳区,64874433,饭店
龙爪树宾馆,小红门龙爪树312号,四星,朝阳区,87699988,饭店
