序号,区县名称,街道名称,社区名称,类别名,名称（全称）,地址（详细到门牌号）,邮政编码,联系电话,服务项目,服务时间
1,西城区,白纸坊街道,万博苑社区,超市,万博苑地下超市,万博苑小区5号楼地下,100054,83531534,销售日常用品,日常
2,西城区,白纸坊街道,崇效寺社区,超市,华兴惠超市,菜园街22号,100053,63543294,,长期
3,西城区,白纸坊街道,建功北里社区,超市,华强超市,建功北里13号楼1层,100053,,日用百货,
4,西城区,白纸坊街道,建功南里社区,超市,美廉美南菜园店,建功南里小区1号楼,100054,13810378985,百货副食销售,
5,西城区,白纸坊街道,清芷园社区,超市,盛鑫百货,清芷园12底商,100054,83502710,日用百货、服装,9:00-20:00
6,西城区,白纸坊街道,新安南里社区,超市,迪亚天天,西城区白纸坊西街丙6,100054,83547484,商品提供,早8-晚10
7,西城区,白纸坊街道,樱桃园社区,超市,华强超市,白纸坊西街1号,100054,63557672,,
8,西城区,白纸坊街道,,超市,北京市京客隆超市,西城区里仁街3号院南门,100054,,,周一至周日
9,西城区,白纸坊街道,双槐里社区,超市,绿特生鲜超市,双槐里8#楼底商,100054,63545532,售食品、日用百货等,周一至周日
10,西城区,白纸坊街道,右内西街社区,超市,优乐尚选超市,右内西街丙6号,100054,63521689,日用品销售,周一至周日
11,西城区,椿树街道,四川营社区,超市,沃尔玛超市,富卓花园广场首层,100052,,经营日常生活所需食品、用品,全天
12,西城区,椿树街道,宣武门外东大街社区,超市,物美便利超市有限公司和平门店,宣武门外东大街8号楼东侧,100051,83167171,购物,24小时
13,西城区,大栅栏街道,石头社区,超市,发达超市,石头胡同38号,100050,63010969,小食品、小百货,8:00-22：00
14,西城区,大栅栏街道,铁树社区,超市,昌玉园烟酒,铁树斜街60号,100050,63034434,,
15,西城区,大栅栏街道,铁树社区,超市,德厚昌超市,铁树斜街79号,100050,63084314,,
16,西城区,大栅栏街道,铁树社区,超市,兰撄阁超市,樱桃胡同3号,100050,63185964,,
17,西城区,大栅栏街道,铁树社区,超市,双明苑食品店,樱桃斜街22号,100050,83153242,,
18,西城区,大栅栏街道,大栅栏西街社区,超市,迪亚天天,大栅栏西街56号,100050,13810746030,日用品、食品批发零售,全天
19,西城区,大栅栏街道,延寿街社区,超市,北京城南馨食品店（杨克军）,延寿街69号,,63038346,零售包装食品、酒、副食调料调料,全天
20,西城区,大栅栏街道,延寿街社区,超市,北京汇鑫峥食品店（魏井敏）,延寿街67号,,15330222182,零售包装食品、酒、副食调料调料,全天
21,西城区,大栅栏街道,延寿街社区,超市,北京大栅栏立芸食品店（颜京平）,延寿街112号,,13521517430,卖鱼,全天
22,西城区,大栅栏街道,延寿街社区,超市,北京大栅栏荣生水产店（杨学乾）,延寿街82号,,13269231860,卖猪肉,全天
23,西城区,大栅栏街道,延寿街社区,超市,北京月兴斋（代书庭）,延寿街94号,,13120468813,早、中、晚餐,全天
24,西城区,大栅栏街道,延寿街社区,超市,都市百姓超市（邓昌文）,延寿街87号,,63025005,零售包装食品、酒、副食调料调料、饮料、果品、水产、速冻水饺包子等,全天
25,西城区,大栅栏街道,延寿街社区,超市,鸿达华昌粮油店（靳淑华）,延寿街64号,,83169034,粮、油,全天
26,西城区,大栅栏街道,延寿街社区,超市,延寿街洗衣店（应永年）,延寿街118号,,63166838,干洗、缝补,全天
27,西城区,大栅栏街道,延寿街社区,超市,北京大栅栏立芸食品店（于素峰）,延寿街112号,,15710075974,卖鸡蛋,全天
28,西城区,大栅栏街道,延寿街社区,超市,洪通食品店（刘同舫）,延寿街63号,,63183916,包装食品副食调料烟酒日用百货,全天
29,西城区,大栅栏街道,延寿街社区,超市,华益烟酒副食商店（孙继强）,延寿街59号,,63031880,烟酒,全天
30,西城区,大栅栏街道,延寿街社区,超市,京鸿来食品店（顾祚）,延寿街57号,,63176149,买菜,全天
31,西城区,大栅栏街道,延寿街社区,超市,北京兴汇龙百货店（殷淑民）,延寿街63号,,81954634,零售日用百货,全天
32,西城区,德胜街道,安南社区,超市,美廉美超市,安德路118号楼底商,100120,82258467,生活日常品,
33,西城区,德胜街道,北广社区,超市,华润万家生活超市,黄寺大街23号,100120,82238228,超市服务,周一至周日
34,西城区,德胜街道,德外大街东社区,超市,迪亚天天超市,教场口9号院丙9号,100120,13811035259,超市,每天
35,西城区,德胜街道,煤炭社区,超市,顺天府超市第十分店,西城区安德路67号—1,100120,62361984,日常生活用品、食品等,
36,西城区,德胜街道,人定湖西里社区,超市,玉辉便利店,五路通街甲6号,100120,13701399806,日用百货,8-21点
37,西城区,德胜街道,双旗杆社区,超市,百姓佳超市,双旗杆东里13号楼地下1层,100120,,,
38,西城区,德胜街道,新康社区,超市,红健祥超市,新康街甲1号,,62014470,便民服务,上午9：00至下午21：00
39,西城区,德胜街道,新明家园社区,超市,物美超市,新风街4号,100088,,为社区居民提供生活购物便利,早8点30分-晚9点
40,西城区,德胜街道,新外大街南社区,超市,好邻居,新外大街28-13,100088,82051274,,
41,西城区,德胜街道,新外大街南社区,超市,好邻居,新外大街A18,100088,82051274,,
42,西城区,德胜街道,阳光丽景社区,超市,华欣超市,黄寺大街23号院A座-12*13,100120,82230108,,8-21：00
43,西城区,德胜街道,阳光丽景社区,超市,迪亚天天超市,黄寺大街23号院D座23-65,100120,82235344,,8-21：00
44,西城区,德胜街道,阳光丽景社区,超市,好邻居超市,黄寺大街23号院FE间23-21,100120,82230334,,24小时
45,西城区,德胜街道,阳光丽景社区,超市,京客隆阳光丽景便利店,黄寺大街23号院D座23-67,100120,,,8-21：00
46,西城区,德胜街道,裕中东里社区,超市,好邻居便利店,北三环中路丙9号,100029,62071609,日常用品销售,每日
47,西城区,德胜街道,裕中东里社区,超市,好邻居便利店,裕中东里2-4,100029,62071609,日常用品销售,每日
48,西城区,德胜街道,裕中东里社区,超市,中晨兴盛平价超市,裕民中路12号,100029,62071609,日常用品销售,每日
49,西城区,德胜街道,裕中东里社区,超市,燕飞飞便利店,裕中西里2号楼东侧,100029,62071609,日常用品销售,每日
50,西城区,德胜街道,裕中东里社区,超市,便民超市,裕中西里9号楼3门一层,100029,62071609,日常用品销售,每日
51,西城区,德胜街道,裕中东里社区,超市,北京毅虹雪便利店,裕中东里15号楼前,100029,62071609,日常用品销售,每日
52,西城区,德胜街道,裕中东里社区,超市,北三环烟酒副食店,裕中西里15号楼一层南侧,100029,62071609,日常用品销售,每日
53,西城区,德胜街道,裕中东里社区,超市,拓京望远平价超市,裕中东里甲32号,100029,62071609,日常用品销售,每日
54,西城区,德胜街道,裕中东里社区,超市,勤海利民日用便利店,裕中东里34-1,100029,62071609,日常用品销售,每日
55,西城区,德胜街道,裕中东里社区,超市,京品特百货超市,裕民东路2号,100029,62071609,日常用品销售,每日
56,西城区,德胜街道,裕中西里社区,超市,1、世纪华联2、京客隆,裕中西里社区47号楼,100029,,,
57,西城区,展览路街道,百万庄东社区,超市,顺天府超市,百万庄中里10号楼,,68358637,,8：30-21：00
58,西城区,展览路街道,万明园社区,超市,好邻居便利店,南礼士路42-4,,68033433,,24小时
59,西城区,展览路街道,文兴街社区,超市,华堂商场,西外大街112号,100044,,,9:00-21:00
60,西城区,展览路街道,榆树馆社区,超市,好邻居,西直门外南路丙8号东侧,,68317695,,24小时
61,西城区,展览路街道,新华南社区,超市,超市发,北礼士路135号-2,,88383119,,8：00-21：00
62,西城区,展览路街道,三塔社区,超市,好邻居便利超市,展览馆路14楼,,88383464,,24小时
63,西城区,展览路街道,南营房社区,超市,迪亚天天超市,月坛北街甲7号,,,,
64,西城区,展览路街道,新华东社区,超市,物乐家超市,北礼士路乙56-3,,,,8：30-21：00
65,西城区,展览路街道,德宝社区,超市,西客隆便利超市,西直门外大街,100044,66111141,购物,9：00-17:00
66,西城区,展览路街道,朝阳庵社区,超市,好邻居便利超市,三里河路34号,100044,88378552,购物,24小时
67,西城区,展览路街道,黄瓜园社区,超市,好邻居便利店,阜成门外大街37号-19,,68327181,,24小时
68,西城区,展览路街道,车公庄社区,超市,五栋便民超市,车公庄大街9号院E栋,,,,8：30-20：00
69,西城区,展览路街道,阜外西社区,超市,好邻居便利超市,阜外大街44-3,,68589638,,24小时
70,西城区,展览路街道,阜外东社区,超市,好邻居连锁店,月坛北街11-6,,,,24小时
71,西城区,展览路街道,北营房东里社区,超市,华联商厦地下超市,阜成门外大街1-3,,68364662,,8:30-22:00
72,西城区,广安门内街道,报国寺社区,超市,方便佳超市,西城区报国寺1号,100053,,日常百货、生活用品,8:00-20:00
73,西城区,广安门内街道,核桃园社区,超市,通力超市,广义街甲6,100053,,零售食品、烟酒,周一至周日
74,西城区,广安门内街道,核桃园社区,超市,公交超市,核桃园东街6号,100053,,零售食品、烟酒,周一至周日
75,西城区,广安门内街道,槐北社区,超市,顺天府超市,槐北甲2楼地下室,100053,83117467,综合,8:30-21:00
76,西城区,广安门内街道,槐北社区,超市,迪亚天天超市,槐北6号楼一层,100053,83112701,综合,8:30-21:01
77,西城区,广安门内街道,槐北社区,超市,天客隆超市,槐柏树街11号楼底商,100053,63181196,综合,8:30-21:02
78,西城区,广安门内街道,康乐里社区,超市,迪亚天天,康乐里小区1号楼北侧,100053,13810322715,日用百货销售服务,周一至周日全天
79,西城区,广安门内街道,老墙根社区,超市,天客隆超市,老墙根69号,100053,63180568,小型超市,每天
80,西城区,广安门内街道,三庙社区,超市,安亿丰超市,三庙街1号东楼外侧,100053,63021921,出售日常用品、食品,每天上午7:00——23:00
81,西城区,广安门内街道,西便门西里社区,超市,迪亚天天超市,西便门西里15号楼一层,100053,,副食品日用品供应,9:00-22:00
82,西城区,广安门内街道,长西社区,超市,华硕超市,宣西20号楼南侧,100053,83121586,便民购物,8:00---19：00
83,西城区,广安门外街道,车站西街35号院社区,超市,玉玉发超市,车站西街15号院东侧,100055,51161193,,全天
84,西城区,广安门外街道,白菜湾社区,超市,世纪华联便利店,广外南街2号,100055,63403439,日常用品,全天
85,西城区,广安门外街道,车站东街社区,超市,北京迪亚商业有限公司迪亚天天超市白菜湾店,广外大街4号楼下,100055,63327052,零售商品,8：00－－22：00
86,西城区,广安门外街道,车站西街社区,超市,邻居乐便民超市,车站西街2号楼北侧,100055,15711487294,百货、水果、蔬菜、粮食、烟酒,早7:00--晚24:00
87,西城区,广安门外街道,椿树馆社区,超市,华欣超市,广外南街55号楼下底商,100055,63480483,日用品销售,7:30-23:30
88,西城区,广安门外街道,蝶翠华庭社区,超市,爱家便民超市,广外大街305号二区8号楼,100055,63469731,便民服务,常年
89,西城区,广安门外街道,二热社区,超市,艾家超市,天宁寺东里,100055,,为周边居民提供服务,每日
90,西城区,广安门外街道,红居街社区,超市,北京华联超市,广外大街180号地下,100055,63280778,百货、超市,9:00—22:000
91,西城区,广安门外街道,红居街社区,超市,华欣超市,红居街05号楼裙楼-07,100055,63487028,超市,9:00—22:000
92,西城区,广安门外街道,红居南街社区,超市,华欣超市,红居南街1号院底商,100055,58466343,超市,每日9-22点
93,西城区,广安门外街道,红居南街社区,超市,惠民天天超市,红居南街1号院底商,,52695536,超市,每日9-22点
94,西城区,广安门外街道,红莲北里社区,超市,华强超市二店,红莲北里20号,,63451859,提供日用品,8:00-21:00
95,西城区,广安门外街道,红莲南里社区,超市,六字超市,马连道路甲2号5号楼102,100055,63482635,,全天
96,西城区,广安门外街道,红莲中里社区,超市,迪亚天天,马连道东街15号院底商,100055,63368682,超市,全天
97,西城区,广安门外街道,朗琴园社区,超市,天虹超市,广外大街168号天虹商厦地下一层,100055,63381522,满足居民购买生活必需品,早8:30-晚9:30
98,西城区,广安门外街道,朗琴园社区,超市,北京联华快客便利超市有限公司手帕口店,手帕口南街1号院3号楼底商,100055,63365272,满足居民生活生活必需品,24小时
99,西城区,广安门外街道,乐城社区,超市,华普超市,乐城1号楼,100055,63389082,食品百货,8:30-21:00
100,西城区,广安门外街道,莲花河社区,超市,华欣超市,莲花河胡同1号院1层底商,100055,,日用百货,每天早8:00至晚9:00
101,西城区,广安门外街道,莲花河社区,超市,北京世纪联华超市,莲花河胡同1号院1层底商,100055,,日用百货,每天早8:00至晚9:00
102,西城区,广安门外街道,马中里社区,超市,双喜兴占商贸中心,广外马中里三巷25号,100055,63367282,烟酒副食,7:00——10:00
103,西城区,广安门外街道,青年湖社区,超市,天客隆仓储超市,南滨河路27号院7号楼一层,100055,63436716,食品、粮油、日用品等,8：30-21：00
104,西城区,广安门外街道,荣丰社区,超市,华普超市,广外大街305号八区17号楼底商,100055,,满足居民购买生活必需品,早8:30-晚9:30
105,西城区,广安门外街道,三义东里社区,超市,华欣超市,广外马中里二区4号楼西侧,100055,63460778,为社区居民提供购买必用品的场所,全年
106,西城区,广安门外街道,天宁寺北里社区,超市,广亨超市,天宁寺前街甲11号,100055,63463473,食品、日用百货,8:00-22:00
107,西城区,广安门外街道,天宁寺南里社区,超市,华强超市,天南4号楼1层底商,100055,63460331,,早8点至晚8点
108,西城区,广安门外街道,湾子街社区,超市,家乐福超市马连道店,宣武马连道11号,100073,63322155,百货销售,8：00-22:00
109,西城区,广安门外街道,小马厂社区,超市,顺天腑手帕口超市,小马厂路1号院2号楼,100055,,日用品、小家电、食品,每日8点——21点
110,西城区,广安门外街道,鸭子桥社区,超市,绿日超市,鸭子桥路45号,100055,15711141772,购物,9:00-22:00
