序号,名称,学校类别,电话,地址,高校
35,北京经济技术职业学院,14普通高等学校：专科院校：高等职业学校,61598651,河北省东燕郊开发区高楼镇,高校
37,北京北大方正软件职业技术学院,14普通高等学校：专科院校：高等职业学校,51108888-2051,河北省廊坊市经济技术开发区东方大学城,高校
119,北京国际标准舞研修学院,51民办的其他高等教育机构,69453012,北京市顺义区后沙峪裕民大街甲4号,高校
193,北京财经专修学院,51民办的其他高等教育机构,68687823,北京市大兴区通黄路1283信箱北京财经专修学院,高校
242,北京东方研修学院,51民办的其他高等教育机构,87723098,北京市怀柔区渤海镇马道裕村1栋1号,高校
246,蒙代尔国际企业家大学,51民办的其他高等教育机构,58369127,北京市海淀区杏石口路99号,高校
297,北京农工商联合总公司职工大学,41成人高等学校：职工高校,67992904,北京市丰台区永外南郊和义,高校
121,华北电业联合职工大学,41成人高等学校：职工高校,88712211,北京市丰台区,高校
1,北京社会函授大学,51民办的其他高等教育机构,66571148,北京市西城区厂桥定阜街3号北门,高校
2,北京兴华大学,51民办的其他高等教育机构,67850768,北京市大兴区亦庄经济技术开发区凉水河一街20号,高校
3,中国管理软件学院,51民办的其他高等教育机构,82823833,北京市海淀区西北旺土井路39号,高校
4,北京北大资源研修学院,51民办的其他高等教育机构,88857392,北京市海淀区上庄镇上庄路117号,高校
6,北京东方大学,51民办的其他高等教育机构,51091586,北京市朝阳区十八里店2000号,高校
7,中央民族大学,11普通高等学校：本科院校：大学,68933983,北京市海淀区中关村南大街27号,高校
8,北京工商大学嘉华学院,22普通高等学校：其他机构：独立学院,69599538,北京市通州区宋庄镇南路甲1号,高校
9,中国青年政治学院,12普通高等学校：本科院校：学院,88567090,北京市海淀区西三环北路25号,高校
10,外交学院,12普通高等学校：本科院校：学院,68323321,北京市西城区展览馆路24号,高校
11,中央音乐学院,12学院,66425598,北京市西城区鲍家街43号,高校
12,中央戏剧学院,12普通高等学校：本科院校：学院,64014899,北京市东城区东棉花胡同39号,高校
14,首都师范大学,11普通高等学校：本科院校：大学,68901964,北京市海淀区西三环北路105号,高校
15,中国劳动关系学院,12普通高等学校：本科院校：学院,88561833,北京市海淀区增光路45号,高校
16,北京工商大学,11普通高等学校：本科院校：大学,81353202,北京市海淀区阜成路33号,高校
18,北京建筑工程学院,12普通高等学校：本科院校：学院,68322234,北京市西城区展览馆路1号,高校
19,中央美术学院,12普通高等学校：本科院校：学院,64771000,北京市朝阳区花家地南街8号,高校
